id_mk,nama_mk,kelas,sks,durasi,semester,periode,is_optional,id_dosen
MK001,Etika Profesi,A,2,100,1,Ganjil,FALSE,D005
MK002,Etika Profesi,B,2,100,1,Ganjil,FALSE,D005
MK003,Etika Profesi,C,2,100,1,Ganjil,FALSE,D005
MK004,Etika Profesi,D,2,100,1,Ganjil,FALSE,D005
MK005,Etika Profesi,E,2,100,1,Ganjil,FALSE,D005
MK006,Etika Profesi,F,2,100,1,Ganjil,FALSE,D005
MK007,Matematika Diskrit I,A,2,100,1,Ganjil,FALSE,D006
MK008,Matematika Diskrit I,B,2,100,1,Ganjil,FALSE,D006
MK009,Matematika Diskrit I,C,2,100,1,Ganjil,FALSE,D006
MK010,Matematika Diskrit I,D,2,100,1,Ganjil,FALSE,D006
MK011,Matematika Diskrit I,E,2,100,1,Ganjil,FALSE,D006
MK012,Matematika Diskrit I,F,2,100,1,Ganjil,FALSE,D006
MK013,Matematika Informatika,A,3,150,1,Ganjil,FALSE,D012
MK014,Matematika Informatika,B,3,150,1,Ganjil,FALSE,D012
MK015,Matematika Informatika,C,3,150,1,Ganjil,FALSE,D012
MK016,Matematika Informatika,D,3,150,1,Ganjil,FALSE,D012
MK017,Matematika Informatika,E,3,150,1,Ganjil,FALSE,D023
MK018,Matematika Informatika,F,3,150,1,Ganjil,FALSE,D023
MK019,Algoritma dan Pemrograman,A,3,150,1,Ganjil,FALSE,D009
MK020,Algoritma dan Pemrograman,B,3,150,1,Ganjil,FALSE,D009
MK021,Algoritma dan Pemrograman,C,3,150,1,Ganjil,FALSE,D009
MK022,Algoritma dan Pemrograman,D,3,150,1,Ganjil,FALSE,D009
MK023,Algoritma dan Pemrograman,E,3,150,1,Ganjil,FALSE,D004
MK024,Algoritma dan Pemrograman,F,3,150,1,Ganjil,FALSE,D004
MK025,Statistika Dasar,A,2,100,1,Ganjil,FALSE,D001
MK026,Statistika Dasar,B,2,100,1,Ganjil,FALSE,D001
MK027,Statistika Dasar,C,2,100,1,Ganjil,FALSE,D001
MK028,Statistika Dasar,D,2,100,1,Ganjil,FALSE,D001
MK029,Statistika Dasar,E,2,100,1,Ganjil,FALSE,D001
MK030,Statistika Dasar,F,2,100,1,Ganjil,FALSE,D001
MK031,Sistem Digital,A,3,150,1,Ganjil,FALSE,D018
MK032,Sistem Digital,B,3,150,1,Ganjil,FALSE,D018
MK033,Sistem Digital,C,3,150,1,Ganjil,FALSE,D018
MK034,Sistem Digital,D,3,150,1,Ganjil,FALSE,D018
MK035,Sistem Digital,E,3,150,1,Ganjil,FALSE,D018
MK036,Sistem Digital,F,3,150,1,Ganjil,FALSE,D018
MK037,Matematika Diskrit II,A,2,100,2,Genap,FALSE,D006
MK038,Matematika Diskrit II,B,2,100,2,Genap,FALSE,D006
MK039,Matematika Diskrit II,C,2,100,2,Genap,FALSE,D006
MK040,Matematika Diskrit II,D,2,100,2,Genap,FALSE,D006
MK041,Matematika Diskrit II,E,2,100,2,Genap,FALSE,D006
MK042,Matematika Diskrit II,F,2,100,2,Genap,FALSE,D006
MK043,Struktur Data,A,3,150,2,Genap,FALSE,D009
MK044,Struktur Data,B,3,150,2,Genap,FALSE,D009
MK045,Struktur Data,C,3,150,2,Genap,FALSE,D009
MK046,Struktur Data,D,3,150,2,Genap,FALSE,D009
MK047,Struktur Data,E,3,150,2,Genap,FALSE,D018
MK048,Struktur Data,F,3,150,2,Genap,FALSE,D018
MK049,Sistem Operasi,A,3,150,2,Genap,FALSE,D019
MK050,Sistem Operasi,B,3,150,2,Genap,FALSE,D019
MK051,Sistem Operasi,C,3,150,2,Genap,FALSE,D017
MK052,Sistem Operasi,D,3,150,2,Genap,FALSE,D017
MK053,Sistem Operasi,E,3,150,2,Genap,FALSE,D015
MK054,Sistem Operasi,F,3,150,2,Genap,FALSE,D015
MK055,Pengantar Probabilitas,A,2,100,2,Genap,FALSE,D001
MK056,Pengantar Probabilitas,B,2,100,2,Genap,FALSE,D001
MK057,Pengantar Probabilitas,C,2,100,2,Genap,FALSE,D001
MK058,Pengantar Probabilitas,D,2,100,2,Genap,FALSE,D001
MK059,Pengantar Probabilitas,E,2,100,2,Genap,FALSE,D001
MK060,Pengantar Probabilitas,F,2,100,2,Genap,FALSE,D001
MK061,Organisasi dan Arsitektur Komputer,A,3,150,2,Genap,FALSE,D013
MK062,Organisasi dan Arsitektur Komputer,B,3,150,2,Genap,FALSE,D013
MK063,Organisasi dan Arsitektur Komputer,C,3,150,2,Genap,FALSE,D013
MK064,Organisasi dan Arsitektur Komputer,D,3,150,2,Genap,FALSE,D013
MK065,Organisasi dan Arsitektur Komputer,E,3,150,2,Genap,FALSE,D020
MK066,Organisasi dan Arsitektur Komputer,F,3,150,2,Genap,FALSE,D020
MK067,Tata Tulis Karya Ilmiah,A,2,100,2,Genap,FALSE,D012
MK068,Tata Tulis Karya Ilmiah,B,2,100,2,Genap,FALSE,D012
MK069,Tata Tulis Karya Ilmiah,C,2,100,2,Genap,FALSE,D012
MK070,Tata Tulis Karya Ilmiah,D,2,100,2,Genap,FALSE,D012
MK071,Tata Tulis Karya Ilmiah,E,2,100,2,Genap,FALSE,D012
MK072,Tata Tulis Karya Ilmiah,F,2,100,2,Genap,FALSE,D012
MK073,Interaksi Manusia dan Komputer,A,3,150,3,Ganjil,FALSE,D013
MK074,Interaksi Manusia dan Komputer,B,3,150,3,Ganjil,FALSE,D013
MK075,Interaksi Manusia dan Komputer,C,3,150,3,Ganjil,FALSE,D013
MK076,Interaksi Manusia dan Komputer,D,3,150,3,Ganjil,FALSE,D013
MK077,Interaksi Manusia dan Komputer,E,3,150,3,Ganjil,FALSE,D013
MK078,Interaksi Manusia dan Komputer,F,3,150,3,Ganjil,FALSE,D013
MK079,Basis Data,A,3,150,3,Ganjil,FALSE,D021
MK080,Basis Data,B,3,150,3,Ganjil,FALSE,D021
MK081,Basis Data,C,3,150,3,Ganjil,FALSE,D021
MK082,Basis Data,D,3,150,3,Ganjil,FALSE,D021
MK083,Basis Data,E,3,150,3,Ganjil,FALSE,D021
MK084,Basis Data,F,3,150,3,Ganjil,FALSE,D021
MK085,Desain dan Analisis Algoritma,A,3,150,3,Ganjil,FALSE,D014
MK086,Desain dan Analisis Algoritma,B,3,150,3,Ganjil,FALSE,D014
MK087,Desain dan Analisis Algoritma,C,3,150,3,Ganjil,FALSE,D014
MK088,Desain dan Analisis Algoritma,D,3,150,3,Ganjil,FALSE,D014
MK089,Desain dan Analisis Algoritma,E,3,150,3,Ganjil,FALSE,D014
MK090,Desain dan Analisis Algoritma,F,3,150,3,Ganjil,FALSE,D014
MK091,Rekayasa Perangkat Lunak,A,3,150,3,Ganjil,FALSE,D020
