id_slot,hari,mulai,selesai
T01,Senin,8:00,8:50
T02,Senin,8:50,9:40
T03,Senin,9:40,10:30
T04,Senin,10:30,11:20
T05,Senin,11:20,12:10
T06,Senin,13:00,13:50
T07,Senin,13:50,14:40
T08,Senin,14:40,15:30
T09,Selasa,8:00,8:50
T10,Selasa,8:50,9:40
T11,Selasa,9:40,10:30
T12,Selasa,10:30,11:20
T13,Selasa,11:20,12:10
T14,Selasa,13:00,13:50
T15,Selasa,13:50,14:40
T16,Selasa,14:40,15:30
T17,Rabu,8:00,8:50
T18,Rabu,8:50,9:40
T19,Rabu,9:40,10:30
T20,Rabu,10:30,11:20
T21,Rabu,11:20,12:10
T22,Rabu,13:00,13:50
T23,Rabu,13:50,14:40
T24,Rabu,14:40,15:30
T25,Kamis,8:00,8:50
T26,Kamis,8:50,9:40
T27,Kamis,9:40,10:30
T28,Kamis,10:30,11:20
T29,Kamis,11:20,12:10
T30,Kamis,13:00,13:50
T31,Kamis,13:50,14:40
T32,Kamis,14:40,15:30
T33,Jumat,8:00,8:50
T34,Jumat,8:50,9:40
T35,Jumat,9:40,10:30
T36,Jumat,10:30,11:20
T37,Jumat,11:20,12:10
T38,Jumat,13:00,13:50
T39,Jumat,13:50,14:40
T40,Jumat,14:40,15:30
